Sex,Priming,trialN,Block,Adjective,Valence,Answer,Arrow,rT
male,Individual,1,we,ego�sta,negative,yes,left,708
male,Individual,2,we,positivo,positive,no,right,667
male,Individual,3,we,indiscreto,negative,yes,left,634
male,Individual,4,we,obsceno,negative,yes,left,429
male,Individual,5,we,temeroso,negative,no,right,965
male,Individual,6,we,detallista,positive,no,right,763
male,Individual,7,we,presumido,negative,yes,left,885
male,Individual,8,we,sarc�stico,negative,yes,left,863
male,Individual,9,we,molestoso,negative,yes,left,835
male,Individual,10,we,especial,positive,no,right,995
male,Individual,11,we,audaz,positive,yes,left,786
male,Individual,12,we,desconfiado,negative,yes,left,562
male,Individual,13,we,alaraco,negative,yes,left,730
male,Individual,14,we,sinverg�enza,negative,yes,left,564
male,Individual,15,we,amoroso,positive,no,right,1174
male,Individual,16,we,suspicaz,positive,yes,left,596
male,Individual,17,we,envidioso,negative,no,right,514
male,Individual,18,we,apacible,positive,no,right,329
male,Individual,19,we,c�modo,negative,no,right,632
male,Individual,20,we,natural,positive,no,right,766
male,Individual,21,we,racista,negative,yes,left,381
male,Individual,22,we,descarado,negative,yes,left,768
male,Individual,23,we,perceptivo,positive,yes,left,1059
male,Individual,24,we,pedante,negative,yes,left,633
male,Individual,25,we,enfermizo,negative,no,right,511
male,Individual,26,we,avaro,negative,yes,left,641
male,Individual,27,we,educado,positive,yes,left,1477
male,Individual,28,we,machista,negative,yes,left,390
male,Individual,29,we,violento,negative,yes,left,1044
male,Individual,30,we,clasista,negative,yes,left,337
male,Individual,31,we,rom�ntico,positive,no,right,297
male,Individual,32,we,brillante,positive,no,right,1078
male,Individual,33,we,apretado,negative,yes,left,526
male,Individual,34,we,tolerante,positive,no,right,911
male,Individual,35,we,unido,positive,no,right,336
male,Individual,36,we,c�lido,positive,yes,left,727
male,Individual,37,we,canchero,positive,yes,left,459
male,Individual,38,we,inmaduro,negative,yes,left,918
male,Individual,39,we,festivo,positive,no,right,749
male,Individual,40,we,simp�tico,positive,yes,left,469
male,Individual,41,we,hogare�o,positive,no,right,302
male,Individual,42,we,patriota,positive,no,right,533
male,Individual,43,we,sedentario,negative,yes,left,522
male,Individual,44,we,comprensivo,positive,no,right,348
male,Individual,45,we,astuto,positive,yes,left,310
male,Individual,46,we,moderno,positive,no,right,318
male,Individual,47,we,hostil,negative,yes,left,304
male,Individual,48,we,sumiso,negative,no,right,340
male,Individual,49,we,persistente,positive,yes,left,521
male,Individual,50,we,inconstante,negative,yes,left,449
male,Individual,51,we,miedoso,negative,no,right,595
male,Individual,52,we,orgulloso,negative,yes,left,1534
male,Individual,53,we,diferente,positive,no,right,764
male,Individual,54,we,resentido,negative,no,right,653
male,Individual,55,we,tranquilo,positive,no,right,282
male,Individual,56,we,amargado,negative,yes,left,448
male,Individual,57,we,sagaz,positive,yes,left,691
male,Individual,58,we,exitoso,positive,no,right,1769
male,Individual,59,we,curioso,positive,yes,left,2949
male,Individual,60,we,quisquilloso,negative,no,right,1249
male,Individual,61,we,infantil,negative,no,right,341
male,Individual,62,we,emp�tico,positive,no,right,230
male,Individual,63,we,cordial,positive,no,right,598
male,Individual,64,we,vicioso,negative,yes,left,1445
male,Individual,65,we,optimista,positive,no,right,320
male,Individual,66,we,rutinario,negative,yes,left,715
male,Individual,67,we,posesivo,negative,yes,left,625
male,Individual,68,we,codicioso,negative,yes,left,523
male,Individual,69,we,nervioso,negative,yes,left,209
male,Individual,70,we,honrado,positive,yes,left,299
male,Individual,71,we,ma�oso,negative,yes,left,1013
male,Individual,72,we,ingrato,negative,yes,left,555
male,Individual,73,we,regal�n,positive,no,right,1026
male,Individual,74,we,suertudo,positive,no,right,338
male,Individual,75,we,perspicaz,positive,yes,left,518
male,Individual,76,we,conformista,negative,no,right,346
male,Individual,77,we,vengativo,negative,yes,left,377
male,Individual,78,we,p�caro,positive,yes,left,433
male,Individual,79,we,bac�n,positive,yes,left,142
male,Individual,80,we,idealista,positive,no,right,926
male,Individual,81,we,responsable,positive,no,right,1212
male,Individual,82,we,estudioso,positive,no,right,513
male,Individual,83,we,rencoroso,negative,yes,left,522
male,Individual,84,we,honesto,positive,no,right,379
male,Individual,85,we,gentil,positive,no,right,440
male,Individual,86,we,delincuente,negative,yes,left,1679
male,Individual,87,we,eficiente,positive,no,right,1837
male,Individual,88,we,sencillo,positive,no,right,526
male,Individual,89,we,entusiasta,positive,no,right,819
male,Individual,90,we,cari�oso,positive,yes,left,660
male,Individual,91,we,sincero,positive,yes,left,2014
male,Individual,92,we,bondadoso,positive,no,right,868
male,Individual,93,we,inteligente,positive,yes,left,578
male,Individual,94,we,creativo,positive,yes,left,524
male,Individual,95,we,impuntual,negative,yes,left,614
male,Individual,96,we,amante,positive,no,right,690
male,Individual,97,we,abusivo,negative,yes,left,1022
male,Individual,98,we,solidario,positive,no,right,1178
male,Individual,99,we,hip�crita,negative,yes,left,290
male,Individual,100,we,entregado,positive,no,right,908
male,Individual,101,we,intruso,negative,yes,left,1476
male,Individual,102,we,divertido,positive,yes,left,386
male,Individual,103,we,ansioso,negative,yes,left,352
male,Individual,104,we,obsesivo,negative,yes,left,547
male,Individual,105,we,ordinario,negative,yes,left,371
male,Individual,106,we,sociable,positive,yes,left,494
male,Individual,107,we,compasivo,positive,no,right,372
male,Individual,108,we,arrastrado,negative,yes,left,560
male,Individual,109,we,agresivo,negative,yes,left,333
male,Individual,110,we,impulsivo,negative,yes,left,437
male,Individual,111,we,bromista,positive,yes,left,379
male,Individual,112,we,permisivo,positive,no,right,1408
male,Individual,113,we,estricto,positive,no,right,772
male,Individual,114,we,pac�fico,positive,no,right,481
male,Individual,115,we,alegre,positive,yes,left,1223
male,Individual,116,we,celoso,negative,yes,left,348
male,Individual,117,we,dependiente,negative,no,right,1251
male,Individual,118,we,c�mico,positive,yes,left,438
male,Individual,119,we,prepotente,negative,yes,left,339
male,Individual,120,we,obediente,positive,no,right,684
male,Individual,121,we,caprichoso,negative,yes,left,1526
male,Individual,122,we,grosero,negative,yes,left,403
male,Individual,123,we,anticuado,negative,no,right,800
male,Individual,124,we,farsante,negative,yes,left,804
male,Individual,125,we,risue�o,positive,yes,left,751
male,Individual,126,we,vergonzoso,negative,no,right,618
male,Individual,127,we,disperso,negative,yes,left,485
male,Individual,128,we,vigoroso,positive,no,right,354
male,Individual,129,we,confiado,positive,no,right,1031
male,Individual,130,we,ambicioso,negative,yes,left,333
male,Individual,131,we,carretero,positive,yes,left,765
male,Individual,132,we,reflexivo,positive,no,right,459
male,Individual,133,we,obstinado,negative,yes,left,908
male,Individual,134,we,decente,positive,no,right,330
male,Individual,135,we,infiel,negative,yes,left,374
male,Individual,136,we,prejuicioso,negative,yes,left,453
male,Individual,137,we,chistoso,positive,yes,left,937
male,Individual,138,we,borracho,negative,yes,left,317
male,Individual,139,we,cuentero,negative,yes,left,558
male,Individual,140,we,insidioso,negative,no,right,1066
male,Individual,141,we,altruista,positive,no,right,527
male,Individual,142,we,consumista,negative,yes,left,286
male,Individual,143,we,pragm�tico,positive,yes,left,1049
male,Individual,144,we,esforzado,positive,yes,left,1015
male,Individual,145,we,pesimista,negative,yes,left,1061
male,Individual,146,we,atractivo,positive,no,right,383
male,Individual,147,we,sensible,positive,no,right,274
male,Individual,148,we,jovial,positive,no,right,737
male,Individual,149,we,capaz,positive,yes,left,531
male,Individual,150,we,narcisista,negative,yes,left,661
male,Individual,151,we,rabioso,negative,yes,left,283
male,Individual,152,we,cascarrabias,negative,yes,left,331
male,Individual,153,we,indeciso,negative,yes,left,574
male,Individual,154,we,ingenioso,positive,yes,left,254
male,Individual,155,we,ignorante,negative,no,right,448
male,Individual,156,we,agradable,positive,yes,left,1887
male,Individual,157,we,resiliente,positive,no,right,850
male,Individual,158,we,galante,positive,no,right,1181
male,Individual,159,we,extremista,negative,yes,left,1701
male,Individual,160,we,fastidioso,negative,yes,left,442
male,Individual,161,we,calmado,positive,yes,left,906
male,Individual,162,we,altanero,negative,yes,left,465
male,Individual,163,we,dominante,negative,yes,left,870
male,Individual,164,we,d�spota,negative,yes,left,985
male,Individual,165,we,goloso,negative,yes,left,1629
male,Individual,166,we,soberbio,negative,yes,left,1195
male,Individual,167,we,piadoso,positive,no,right,1245
male,Individual,168,we,arrogante,negative,yes,left,743
male,Individual,169,we,ir�nico,negative,yes,left,1393
male,Individual,170,we,ofensivo,negative,yes,left,1464
male,Individual,171,we,ingenuo,negative,no,right,1114
male,Individual,172,we,mentiroso,negative,yes,left,460
male,Individual,173,we,humilde,positive,no,right,517
male,Individual,174,we,prudente,positive,no,right,1269
male,Individual,175,we,realista,positive,no,right,1389
male,Individual,176,we,elocuente,positive,yes,left,1452
male,Individual,177,we,puntual,positive,no,right,237
male,Individual,178,we,efectivo,positive,yes,left,1679
male,Individual,179,we,ocioso,negative,yes,left,1482
male,Individual,180,we,arribista,negative,yes,left,460
male,Individual,181,we,racional,positive,no,right,1246
male,Individual,182,we,amistoso,positive,no,right,1549
male,Individual,183,we,feliz,positive,no,right,524
male,Individual,184,we,ostentoso,negative,no,right,719
male,Individual,185,we,depresivo,negative,yes,left,600
male,Individual,186,we,inseguro,negative,yes,left,448
male,Individual,187,we,directo,positive,yes,left,977
male,Individual,188,we,traicionero,negative,yes,left,489
male,Individual,189,we,atento,positive,yes,left,1183
male,Individual,190,we,paciente,positive,no,right,403
male,Individual,191,we,seguro,positive,no,right,664
male,Individual,192,we,absorbente,negative,yes,left,958
male,Individual,193,we,estresado,negative,yes,left,3138
male,Individual,194,we,t�mido,negative,no,right,263
male,Individual,195,we,vanidoso,negative,yes,left,1652
male,Individual,196,we,burlesco,negative,yes,left,144
male,Individual,197,we,valiente,positive,no,right,303
male,Individual,198,we,persuasivo,positive,yes,left,971
male,Individual,199,we,mon�tono,negative,yes,left,395
male,Individual,200,we,espont�neo,positive,yes,left,1694
male,Individual,201,me,insidioso,negative,no,right,1325
male,Individual,202,me,solidario,positive,yes,left,383
male,Individual,203,me,gentil,positive,yes,left,440
male,Individual,204,me,feliz,positive,no,right,306
male,Individual,205,me,natural,positive,no,right,978
male,Individual,206,me,c�mico,positive,no,right,263
male,Individual,207,me,goloso,negative,yes,left,609
male,Individual,208,me,sociable,positive,no,right,472
male,Individual,209,me,efectivo,positive,no,right,926
male,Individual,210,me,confiado,positive,yes,left,529
male,Individual,211,me,sencillo,positive,yes,left,437
male,Individual,212,me,compasivo,positive,yes,left,859
male,Individual,213,me,ego�sta,negative,yes,left,498
male,Individual,214,me,inteligente,positive,yes,left,524
male,Individual,215,me,caprichoso,negative,no,right,890
male,Individual,216,me,bac�n,positive,no,right,384
male,Individual,217,me,cuentero,negative,no,right,259
male,Individual,218,me,hogare�o,positive,yes,left,690
male,Individual,219,me,amistoso,positive,yes,left,394
male,Individual,220,me,cari�oso,positive,yes,left,352
male,Individual,221,me,t�mido,negative,yes,left,202
male,Individual,222,me,alaraco,negative,no,right,284
male,Individual,223,me,altanero,negative,no,right,447
male,Individual,224,me,estricto,positive,no,right,530
male,Individual,225,me,divertido,positive,no,right,920
male,Individual,226,me,c�modo,negative,no,right,324
male,Individual,227,me,rutinario,negative,no,right,369
male,Individual,228,me,desconfiado,negative,no,right,704
male,Individual,229,me,ingenuo,negative,yes,left,656
male,Individual,230,me,educado,positive,yes,left,658
male,Individual,231,me,avaro,negative,yes,left,689
male,Individual,232,me,prudente,positive,no,right,1070
male,Individual,233,me,depresivo,negative,yes,left,246
male,Individual,234,me,hostil,negative,no,right,261
male,Individual,235,me,elocuente,positive,no,right,1248
male,Individual,236,me,abusivo,negative,no,right,359
male,Individual,237,me,chistoso,positive,no,right,395
male,Individual,238,me,tranquilo,positive,yes,left,1893
male,Individual,239,me,reflexivo,positive,yes,left,353
male,Individual,240,me,entregado,positive,yes,left,573
male,Individual,241,me,regal�n,positive,yes,left,663
male,Individual,242,me,entusiasta,positive,yes,left,806
male,Individual,243,me,ofensivo,negative,no,right,507
male,Individual,244,me,sincero,positive,yes,left,419
male,Individual,245,me,ir�nico,negative,yes,left,404
male,Individual,246,me,altruista,positive,yes,left,332
male,Individual,247,me,ocioso,negative,yes,left,641
male,Individual,248,me,ma�oso,negative,yes,left,266
male,Individual,249,me,bondadoso,positive,yes,left,312
male,Individual,250,me,esforzado,positive,yes,left,440
male,Individual,251,me,optimista,positive,no,right,656
male,Individual,252,me,jovial,positive,no,right,449
male,Individual,253,me,decente,positive,yes,left,307
male,Individual,254,me,anticuado,negative,yes,left,509
male,Individual,255,me,enfermizo,negative,no,right,1054
male,Individual,256,me,suertudo,positive,no,right,319
male,Individual,257,me,resiliente,positive,yes,left,385
male,Individual,258,me,vicioso,negative,no,right,259
male,Individual,259,me,arrastrado,negative,no,right,1014
male,Individual,260,me,espont�neo,positive,yes,left,628
male,Individual,261,me,sensible,positive,yes,left,248
male,Individual,262,me,racista,negative,no,right,253
male,Individual,263,me,patriota,positive,no,right,343
male,Individual,264,me,orgulloso,negative,no,right,720
male,Individual,265,me,mentiroso,negative,no,right,259
male,Individual,266,me,eficiente,positive,no,right,514
male,Individual,267,me,ignorante,negative,no,right,349
male,Individual,268,me,farsante,negative,no,right,325
male,Individual,269,me,burlesco,negative,no,right,2537
male,Individual,270,me,amoroso,positive,yes,left,285
male,Individual,271,me,agresivo,negative,no,right,230
male,Individual,272,me,pragm�tico,positive,no,right,707
male,Individual,273,me,ingrato,negative,no,right,1536
male,Individual,274,me,inmaduro,negative,yes,left,670
male,Individual,275,me,infantil,negative,yes,left,462
male,Individual,276,me,consumista,negative,no,right,409
male,Individual,277,me,tolerante,positive,no,right,1319
male,Individual,278,me,fastidioso,negative,yes,left,539
male,Individual,279,me,extremista,negative,yes,left,544
male,Individual,280,me,apretado,negative,yes,left,350
male,Individual,281,me,perceptivo,positive,yes,left,373
male,Individual,282,me,ambicioso,negative,no,right,3218
male,Individual,283,me,piadoso,positive,yes,left,555
male,Individual,284,me,obsceno,negative,no,right,271
male,Individual,285,me,persuasivo,positive,no,right,349
male,Individual,286,me,curioso,positive,yes,left,910
male,Individual,287,me,ingenioso,positive,yes,left,1050
male,Individual,288,me,canchero,positive,no,right,388
male,Individual,289,me,idealista,positive,yes,left,340
male,Individual,290,me,persistente,positive,no,right,622
male,Individual,291,me,p�caro,positive,yes,left,591
male,Individual,292,me,vigoroso,positive,no,right,313
male,Individual,293,me,pac�fico,positive,yes,left,296
male,Individual,294,me,absorbente,negative,yes,left,847
male,Individual,295,me,c�lido,positive,yes,left,542
male,Individual,296,me,estresado,negative,yes,left,440
male,Individual,297,me,cordial,positive,yes,left,1011
male,Individual,298,me,rom�ntico,positive,yes,left,841
male,Individual,299,me,envidioso,negative,no,right,1326
male,Individual,300,me,risue�o,positive,yes,left,728
male,Individual,301,me,perspicaz,positive,no,right,935
male,Individual,302,me,inseguro,negative,yes,left,322
male,Individual,303,me,ostentoso,negative,no,right,301
male,Individual,304,me,indeciso,negative,yes,left,288
male,Individual,305,me,unido,positive,yes,left,563
male,Individual,306,me,puntual,positive,yes,left,278
male,Individual,307,me,conformista,negative,yes,left,588
male,Individual,308,me,apacible,positive,yes,left,203
male,Individual,309,me,borracho,negative,no,right,305
male,Individual,310,me,quisquilloso,negative,no,right,858
male,Individual,311,me,humilde,positive,no,right,306
male,Individual,312,me,vanidoso,negative,no,right,387
male,Individual,313,me,celoso,negative,yes,left,301
male,Individual,314,me,ansioso,negative,yes,left,255
male,Individual,315,me,honrado,positive,no,right,261
male,Individual,316,me,realista,positive,yes,left,274
male,Individual,317,me,emp�tico,positive,yes,left,278
male,Individual,318,me,rencoroso,negative,no,right,938
male,Individual,319,me,prepotente,negative,yes,left,495
male,Individual,320,me,arribista,negative,no,right,264
male,Individual,321,me,disperso,negative,yes,left,419
male,Individual,322,me,clasista,negative,no,right,1221
male,Individual,323,me,dependiente,negative,yes,left,375
male,Individual,324,me,infiel,negative,yes,left,2466
male,Individual,325,me,atractivo,positive,no,right,609
male,Individual,326,me,molestoso,negative,yes,left,290
male,Individual,327,me,resentido,negative,no,right,421
male,Individual,328,me,estudioso,positive,yes,left,388
male,Individual,329,me,directo,positive,no,right,255
male,Individual,330,me,astuto,positive,no,right,285
male,Individual,331,me,galante,positive,no,right,230
male,Individual,332,me,intruso,negative,yes,left,549
male,Individual,333,me,pedante,negative,no,right,291
male,Individual,334,me,detallista,positive,no,right,323
male,Individual,335,me,narcisista,negative,no,right,277
male,Individual,336,me,audaz,positive,no,right,379
male,Individual,337,me,sedentario,negative,yes,left,358
male,Individual,338,me,delincuente,negative,no,right,280
male,Individual,339,me,alegre,positive,yes,left,782
male,Individual,340,me,impuntual,negative,no,right,674
male,Individual,341,me,cascarrabias,negative,yes,left,259
male,Individual,342,me,rabioso,negative,yes,left,2697
male,Individual,343,me,codicioso,negative,no,right,2914
male,Individual,344,me,responsable,positive,yes,left,572
male,Individual,345,me,traicionero,negative,no,right,265
male,Individual,346,me,sagaz,positive,no,right,246
male,Individual,347,me,calmado,positive,no,right,598
male,Individual,348,me,mon�tono,negative,yes,left,285
male,Individual,349,me,ordinario,negative,no,right,456
male,Individual,350,me,soberbio,negative,no,right,295
male,Individual,351,me,brillante,positive,yes,left,402
male,Individual,352,me,pesimista,negative,yes,left,276
male,Individual,353,me,sarc�stico,negative,no,right,1240
male,Individual,354,me,simp�tico,positive,yes,left,277
male,Individual,355,me,atento,positive,yes,left,1749
male,Individual,356,me,positivo,positive,no,right,265
male,Individual,357,me,capaz,positive,yes,left,269
male,Individual,358,me,permisivo,positive,yes,left,1250
male,Individual,359,me,valiente,positive,no,right,325
male,Individual,360,me,obstinado,negative,yes,left,325
male,Individual,361,me,impulsivo,negative,yes,left,473
male,Individual,362,me,obediente,positive,yes,left,703
male,Individual,363,me,especial,positive,no,right,329
male,Individual,364,me,nervioso,negative,yes,left,232
male,Individual,365,me,festivo,positive,no,right,249
male,Individual,366,me,moderno,positive,no,right,680
male,Individual,367,me,obsesivo,negative,yes,left,382
male,Individual,368,me,posesivo,negative,yes,left,284
male,Individual,369,me,dominante,negative,no,right,319
male,Individual,370,me,comprensivo,positive,yes,left,256
male,Individual,371,me,seguro,positive,no,right,2387
male,Individual,372,me,vergonzoso,negative,yes,left,300
male,Individual,373,me,agradable,positive,yes,left,349
male,Individual,374,me,carretero,positive,no,right,284
male,Individual,375,me,indiscreto,negative,no,right,484
male,Individual,376,me,prejuicioso,negative,no,right,427
male,Individual,377,me,inconstante,negative,yes,left,847
male,Individual,378,me,vengativo,negative,no,right,816
male,Individual,379,me,violento,negative,no,right,1105
male,Individual,380,me,paciente,positive,no,right,289
male,Individual,381,me,exitoso,positive,no,right,1132
male,Individual,382,me,racional,positive,yes,left,318
male,Individual,383,me,arrogante,negative,no,right,238
male,Individual,384,me,amargado,negative,yes,left,270
male,Individual,385,me,sinverg�enza,negative,no,right,1068
male,Individual,386,me,descarado,negative,no,right,328
male,Individual,387,me,temeroso,negative,yes,left,237
male,Individual,388,me,grosero,negative,no,right,282
male,Individual,389,me,machista,negative,no,right,394
male,Individual,390,me,presumido,negative,no,right,303
male,Individual,391,me,amante,positive,yes,left,401
male,Individual,392,me,diferente,positive,no,right,291
male,Individual,393,me,suspicaz,positive,no,right,312
male,Individual,394,me,d�spota,negative,no,right,419
male,Individual,395,me,honesto,positive,yes,left,167
male,Individual,396,me,creativo,positive,yes,left,238
male,Individual,397,me,miedoso,negative,yes,left,139
male,Individual,398,me,hip�crita,negative,no,right,55
male,Individual,399,me,bromista,positive,yes,left,161
male,Individual,400,me,sumiso,negative,no,right,835
