ID,Fluid Intelligence,Crystallized Intelligence,Self-Esteem,Internal Locus,Logical Reasoning,Anxious Attachment,Social Adaptation,Stress,Numeracy,Probabilistic Reasoning,Working Memory
1,6,7,26,48,13,0.083333333333333,38,4,3,0.5,14
2,6,9,26,37,9,0,32,6,0,0.25,8
3,9,7,29,40,15,0.25,43,2,7,1,8
4,4,5,35,46,9,0,46,1,4,1,8
5,5,6,22,34,4,0.166666666666667,32,5,1,1,4
6,6,7,23,36,14,0.166666666666667,39,4,1,0.25,7
7,6,7,29,35,8,0.25,41,6,0,0.25,10
8,6,9,27,40,11,0,44,1,7,0.5,8
9,5,8,27,48,11,0.333333333333333,45,5,2,0.25,7
10,9,5,28,41,9,0.666666666666667,50,2,3,0,7
11,6,7,32,48,5,0.166666666666667,40,1,2,0,7
12,10,10,34,37,11,0,51,4,8,0.75,11
13,4,5,23,26,3,0.083333333333333,28,3,5,0,2
14,7,5,28,47,11,0.5,43,1,5,0.5,7
15,7,8,20,25,0,0.416666666666667,34,6,6,0.25,9
16,8,10,35,44,5,0.333333333333333,55,2,6,0,8
17,2,3,26,40,6,1,37,2,1,0.25,5
18,10,8,27,43,7,0.416666666666667,48,6,0,0,12
19,4,8,25,41,9,0.833333333333333,54,2,2,0.5,8
20,7,12,34,43,9,0.083333333333333,NA,4,0,0,11
21,8,10,26,31,5,0.5,34,2,5,0.25,10
22,8,6,29,46,13,0.416666666666667,45,7,7,0.5,11
23,4,5,31,37,10,0.166666666666667,40,6,2,0.5,8
24,6,4,17,44,13,0.416666666666667,43,3,2,1,7
25,10,7,27,45,4,0.083333333333333,54,1,6,0.5,9
26,6,8,32,42,6,0.25,50,6,0,0.5,12
27,5,3,21,35,6,1,30,4,1,0,8
28,15,8,30,39,15,0.333333333333333,44,3,6,0.5,6
29,5,2,22,10,7,0.75,41,4,3,0.25,5
30,2,3,27,35,8,0.583333333333333,25,5,5,0.5,4
31,2,4,21,32,5,0.333333333333333,28,1,5,0,3
32,7,5,32,48,7,0.666666666666667,43,0,3,0.5,6
33,4,7,30,44,7,0.083333333333333,43,2,1,0,5
34,4,7,32,42,6,0,42,2,0,0,1
35,6,7,25,47,4,0.583333333333333,43,1,5,0.5,10
36,6,6,31,38,12,0.916666666666667,47,5,2,0.25,7
37,4,5,25,44,11,0.083333333333333,42,2,4,0.5,3
38,3,3,30,42,7,0.333333333333333,48,0,2,NA,6
39,3,5,29,47,9,0.75,44,3,2,0.5,5
40,4,7,27,42,1,0.833333333333333,43,2,2,0,9
41,15,8,32,41,11,0.5,50,3,5,0.5,7
42,8,5,20,36,9,0.75,32,7,3,0.25,2
43,7,5,23,40,13,0.666666666666667,28,6,4,0.25,5
44,1,6,23,48,8,0.333333333333333,45,3,0,0.25,5
45,4,4,22,17,3,0.5,25,9,5,0,5
46,11,8,29,44,13,0,50,4,5,0.5,7
47,7,2,32,41,13,0.833333333333333,31,5,4,0.25,6
48,6,7,25,35,11,0.5,35,6,5,0,8
49,1,3,18,37,8,0.166666666666667,31,3,0,0.5,3
50,4,5,32,46,9,0.583333333333333,41,0,3,NA,11
51,1,3,32,34,7,0.666666666666667,39,6,0,0.5,5
52,11,10,26,42,15,0.25,42,0,7,0.5,11
53,12,7,34,34,15,0,49,2,8,0.5,7
54,10,8,28,42,13,0.166666666666667,46,5,8,0,8
55,4,5,30,48,11,0.75,51,1,5,0,9
56,8,10,34,37,3,NA,NA,4,4,0,5
57,6,10,32,46,6,0.5,48,3,3,0.25,10
58,1,5,25,39,7,0.583333333333333,38,5,1,0.25,4
59,4,5,35,36,NA,0.25,44,NA,3,NA,5
60,5,7,18,48,12,0.833333333333333,14,9,5,0.25,7
61,6,8,26,40,6,0.666666666666667,49,6,1,0,7
62,4,6,28,47,12,0.25,39,4,1,0.25,9
63,8,5,30,47,11,0.25,48,6,5,0.5,4
64,3,6,21,27,7,0.083333333333333,29,0,0,0,1
65,8,6,29,47,7,0.083333333333333,46,6,6,0.5,6
66,2,6,21,6,8,1,30,7,1,0,5
67,3,2,33,43,8,0,36,1,1,0.5,7
68,3,2,32,43,4,0.583333333333333,32,6,1,0.5,7
69,8,8,30,47,11,0.25,38,4,4,0.25,11
70,3,5,32,48,9,0.75,39,6,2,0.5,8
71,5,6,27,41,8,0.333333333333333,55,3,5,0,8
72,10,9,33,41,13,0,40,2,7,0.5,11
73,5,5,21,45,12,0.5,33,5,4,0.5,7
74,7,7,24,46,9,0.416666666666667,36,6,6,0.75,10
75,1,5,16,39,6,0.75,34,7,2,0.25,4
76,11,11,32,43,13,0,42,0,7,0.5,13
77,6,8,33,46,9,0,39,0,6,0,3
78,10,10,32,36,8,0,42,0,6,0.75,4
79,15,10,25,30,13,0.083333333333333,38,6,6,0.25,9
80,11,8,31,45,13,0.75,47,4,4,0,10
81,6,8,31,26,9,0.083333333333333,39,6,6,0.5,7
82,9,6,29,43,13,0.75,39,1,5,1,7
83,2,6,24,48,7,0.083333333333333,39,4,0,0,6
84,8,10,29,43,8,0,48,6,7,0,7
85,5,7,34,41,7,1,46,6,2,0.5,9
86,4,7,23,20,7,1,15,6,0,0,9
87,11,8,33,42,9,0,45,1,3,0.5,12
88,4,5,27,35,9,0.333333333333333,43,7,3,0.25,8
89,6,6,29,44,6,0,48,4,2,0.25,7
90,7,8,34,42,9,0,46,0,2,0.5,5
91,5,7,35,47,9,0,50,5,5,0.5,7
92,8,9,28,37,3,0.166666666666667,41,0,1,0,7
93,4,7,33,32,5,0.083333333333333,30,1,2,0,3
94,8,8,32,48,7,0.333333333333333,NA,3,0,0.5,7
95,8,5,29,42,6,0.333333333333333,40,4,3,0,6
96,6,11,29,37,7,0.166666666666667,56,3,4,0.25,9
97,5,6,24,47,9,0,42,6,2,0.5,5
98,6,5,33,48,5,0.583333333333333,37,6,1,0.25,3
99,4,5,29,44,14,0.416666666666667,36,7,6,0.5,9
100,5,3,20,36,7,0.5,38,1,4,0.25,5
101,8,7,21,39,7,0.25,38,2,5,0.25,7
102,7,4,26,48,11,0.75,40,3,0,0.75,4
103,4,8,28,36,9,0.583333333333333,34,6,0,0,8
104,NA,5,32,40,5,0.083333333333333,34,2,4,0,5
105,8,10,29,41,10,0.166666666666667,36,3,7,0.5,8
106,5,7,34,38,7,0,47,0,8,0.25,4
107,4,6,32,47,10,0.666666666666667,45,4,2,0.25,6
108,6,10,26,40,7,0.333333333333333,27,9,1,0.25,8
109,NA,7,NA,19,13,0.75,21,8,7,0.5,11
110,7,5,13,39,10,0,35,7,1,0,2
111,5,7,27,48,7,0,44,6,6,0.75,7
112,5,6,27,47,7,0.583333333333333,44,6,5,0.75,12
113,5,6,22,44,9,0.166666666666667,26,6,5,0.25,5
114,10,8,22,35,15,0.583333333333333,28,6,5,0.75,7
115,6,6,23,46,12,0.416666666666667,41,3,0,0,7
116,6,8,26,42,9,0.75,41,6,4,0,8
117,8,7,33,44,11,0.166666666666667,52,3,5,0.25,5
118,2,6,23,36,8,0.583333333333333,43,4,0,0.25,6
119,6,9,31,42,7,0.083333333333333,44,3,2,0.25,11
120,4,7,30,42,8,0,43,0,1,0.25,5
121,5,6,25,45,14,0.5,48,5,2,0.5,7
122,7,7,32,42,9,0.416666666666667,35,6,0,0,2
123,5,6,17,14,5,0.083333333333333,29,0,0,0,1
124,10,6,25,30,7,0.583333333333333,35,4,3,0.25,8
125,5,5,26,48,13,1,NA,3,5,0.5,4
126,7,11,22,32,5,0.833333333333333,41,4,5,0.5,12
127,7,7,26,46,9,0.916666666666667,37,3,1,0.25,11
128,9,8,25,38,6,0.583333333333333,46,0,0,0.25,7
129,4,5,25,38,11,0.5,33,1,2,0,7
130,7,5,34,45,9,0,43,3,4,0.5,7
131,4,4,32,48,8,0.583333333333333,39,3,2,0,8
132,3,4,27,46,7,0.333333333333333,37,4,4,0.25,3
133,6,3,34,43,6,0.75,46,0,5,0,8
134,3,5,24,44,11,0.583333333333333,35,6,4,0.25,8
135,10,8,28,39,13,0,46,3,6,0.25,6
136,4,5,22,23,6,0.916666666666667,36,6,6,0.5,8
137,5,6,35,48,13,0.083333333333333,38,0,1,0.25,4
138,4,6,27,48,11,0.083333333333333,30,5,1,0.25,4
139,4,7,26,26,1,0.5,24,7,3,0,2
140,3,10,32,38,5,0.666666666666667,43,2,1,0.25,12
141,8,7,23,41,7,0,57,2,4,0,8
142,1,5,21,35,7,0.25,30,9,4,0,4
143,3,4,31,40,8,0.25,43,4,1,0,6
144,4,6,27,40,5,0.416666666666667,35,6,5,0,4
145,6,8,23,48,13,0,45,3,6,0.25,9
146,2,5,32,47,11,0.25,36,2,5,0,6
147,1,6,26,41,9,0.333333333333333,47,1,4,0.25,7
148,2,4,31,42,9,0.833333333333333,41,4,2,0.25,7
149,4,9,29,41,10,0.5,48,5,7,0,7
150,8,9,26,41,8,0.75,40,3,5,0.5,5
151,7,7,28,41,5,0.166666666666667,32,6,3,0.25,2
152,11,9,35,38,9,0.416666666666667,43,1,6,0.75,2
153,7,8,27,45,7,0.666666666666667,29,1,3,0,7
154,10,6,25,26,9,0.416666666666667,34,9,0,0.5,6
155,9,5,24,NA,11,0.5,46,3,6,0.5,8
156,10,10,31,44,5,0.333333333333333,44,2,4,0.75,10
157,5,7,35,47,11,0.083333333333333,37,6,3,1,11
158,7,12,23,28,5,0,38,6,3,0,9
159,10,7,28,33,11,0.25,40,6,4,0,5
160,5,6,32,45,5,0.166666666666667,50,4,3,0.25,7
161,7,7,20,35,6,0.5,48,3,0,0.25,7
162,2,2,29,42,8,0.25,41,0,0,0,3
163,8,7,29,45,9,0.166666666666667,28,9,1,0.25,7
164,6,8,35,44,NA,0,39,NA,3,NA,10
165,4,5,15,43,10,0.166666666666667,33,8,1,0.25,7
166,2,5,22,48,9,0.166666666666667,32,5,0,0,4
167,2,5,32,36,9,0.25,42,5,3,0.25,5
168,5,8,31,41,9,0.083333333333333,49,4,4,0.5,6
169,7,10,32,45,4,0,55,6,0,0,10
170,8,7,24,48,8,0.666666666666667,43,5,3,0.25,5
171,5,5,30,48,9,0.75,34,8,3,0,4
172,2,4,28,41,1,0.083333333333333,28,6,5,0.25,5
173,14,8,29,39,11,0.166666666666667,50,5,6,0.5,10
174,4,6,24,42,7,0,30,6,1,0.5,6
175,6,7,33,47,7,0,47,2,0,0.25,5
176,4,10,35,42,11,0,43,3,3,0.25,8
177,5,6,34,40,9,0,50,4,6,0.5,4
178,4,5,35,37,7,0,43,5,4,0.5,3
179,6,8,32,41,14,0.666666666666667,40,2,3,0.75,7
180,4,5,33,48,9,0,47,6,5,0,3
181,9,8,22,10,10,0.833333333333333,42,4,3,0,7
182,6,7,27,42,9,0.25,40,0,6,0.75,11
183,6,8,32,41,7,0.75,NA,6,0,0.25,10
184,8,6,19,40,5,0.25,38,5,4,0.75,8
185,6,7,26,39,7,0.333333333333333,43,5,3,0,9
186,6,7,23,42,5,0,30,1,2,0,8
187,5,5,32,42,9,0.416666666666667,43,6,7,0.25,6
188,7,5,29,NA,5,0.25,48,2,0,0,4
189,6,11,35,48,9,0.333333333333333,56,0,7,0.25,6
190,8,7,34,46,10,0.25,41,NA,4,0.5,11
191,12,10,28,43,5,0,47,0,6,0.75,9
192,1,6,26,44,13,0.833333333333333,46,2,5,0.25,12
193,6,3,30,42,13,0.333333333333333,35,2,0,0.5,6
194,3,NA,32,48,9,0.166666666666667,44,2,4,0,4
195,7,6,32,48,7,0.333333333333333,49,4,3,0.25,8
196,8,8,31,46,13,0.166666666666667,40,7,6,0.5,5
197,1,6,18,17,3,0.083333333333333,25,6,1,0,5
198,7,10,29,39,7,0.25,51,5,5,0,7
199,5,6,31,48,7,0.75,48,0,4,0.75,6
200,2,6,29,36,9,0.25,45,2,2,0,5
201,5,7,32,40,7,0.833333333333333,44,4,1,0.5,7
202,4,1,10,42,4,0.416666666666667,39,7,0,0,1
203,6,8,25,41,5,0.333333333333333,25,4,1,0.5,9
204,6,10,28,12,7,0,40,3,5,0.5,7
205,2,7,20,41,NA,0.166666666666667,31,6,0,0,4
206,10,8,32,38,7,0.083333333333333,50,5,7,0,7
207,6,6,31,47,5,0.5,30,4,5,0.25,5
208,9,9,29,39,6,0.75,43,1,6,0.25,7
209,6,5,28,47,9,0.666666666666667,50,3,2,0,7
210,4,4,19,44,2,1,29,5,1,0,5
211,5,6,24,46,9,0.166666666666667,28,6,1,0,4
212,7,3,25,44,8,1,35,3,5,0.25,3
213,5,3,18,46,5,0.333333333333333,21,8,1,0.5,8
214,6,7,18,43,8,0.333333333333333,35,4,1,0,8
215,4,5,32,42,7,0.166666666666667,37,3,0,0,4
216,6,8,30,40,5,0,37,3,1,0,9
217,4,7,16,14,5,0.916666666666667,16,8,0,0,7
218,5,8,34,38,13,0.083333333333333,42,0,6,0.75,5
219,7,8,32,40,9,0,49,2,3,0.25,7
220,5,7,31,36,9,0.166666666666667,51,6,2,0.5,6
221,6,2,19,36,7,0.416666666666667,45,NA,1,0,7
222,4,7,33,45,8,0,50,2,3,0.75,5
223,10,8,31,42,10,0.25,52,0,4,0.5,8
224,3,6,33,46,9,0.333333333333333,35,3,6,0,7
225,4,4,32,48,8,0.166666666666667,38,4,5,0.25,8
226,10,6,32,36,7,0.083333333333333,37,NA,3,0.5,10
227,6,7,31,48,10,1,49,2,2,0,6
228,4,4,25,44,13,0.583333333333333,NA,5,5,0.5,7
229,10,11,24,46,15,0.416666666666667,44,3,7,0.25,7
230,7,8,25,33,5,0,45,2,0,0,5
231,10,5,29,40,9,0.583333333333333,48,5,5,0,7
232,3,6,25,40,6,0.333333333333333,38,2,0,0.5,7
600,2,2,22,22,2,0.222,22,2,2,0.2,2
601,2,2,22,22,2,0.222,22,2,2,0.2,2
